"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              FLOW","            FLOW_G","            FLOW_L","            FLOW_N","     FDIFF_WATER_L","        FDIFF_O2_L","    FDIFF_Toluen_L"
"                  ","                  ","               (M)","               (M)","               (M)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)"
"TIME [sec]  0.10000000E+03"
"               b 3","               c 3",  0.20000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               c 3","               d 3",  0.30000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               d 3","               e 3",  0.40000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 3","               f 3",  0.50000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 3","               g 3",  0.60000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 3","               h 3",  0.70000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 3","               i 3",  0.80000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.43719341221E-042
"               i 3","               j 3",  0.90000000000E+003,  0.50000000000E+000, -0.10750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.87438682442E-042
"               a 4","               a 3",  0.50000000000E+002,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               b 4","               b 3",  0.15000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
